	Title	Price	Baths	Land size	Beds	House size	Brand New	Town	District
345	House	14800000	1	6.8	3	1800.0	0	 Malabe	  Colombo
346	House	5700000	2	10.7	4	1560.0	0	 Piliyandala	  Colombo
347	House	27000000	4	7.0	4	3250.0	0	 Piliyandala	  Colombo
348	House	18500000	3	10.0	3	1800.0	1	 Athurugiriya	  Colombo
349	House	14000000	2	17.5	3	1800.0	0	 Peradeniya	  Kandy
350	House	17800000	3	6.0	3	1615.0	0	 Piliyandala	  Colombo
351	House	65000000	4	10.0	5	4000.0	0	 Malabe	  Colombo
352	House	24000000	8	11.0	7	4000.0	0	 Piliyandala	  Colombo
353	House	18000000	1	8.08	3	1085.0	0	 Digana	  Kandy
354	House	15800000	3	10.5	5	2000.0	0	 Mount Lavinia	  Colombo
355	House	49500000	4	10.0	4	4200.0	0	 Kottawa	  Colombo
356	House	290000000	8	30.0	8	9000.0	0	 Battaramulla	  Colombo
357	House	55000000	2	14.0	6	3768.0	0	 Gampola	  Kandy
358		34000000	4	9.0	4	3140.0	1	 Piliyandala	  Colombo
359		33000000	4	10.0	4	3310.0	1	 Piliyandala	  Colombo
360	House	36700000	5	11.5	5	3985.0	1	 Piliyandala	  Colombo
361	House	18000000	3	11.0	3	1645.0	1	 Piliyandala	  Colombo
362		24800000	4	6.0	4	2874.0	0	 Piliyandala	  Colombo
363		25500000	4	7.0	4	2784.0	1	 Piliyandala	  Colombo
364	House	18500000	3	8.0	3	1574.0	1	 Piliyandala	  Colombo
365		21500000	4	9.0	4	2874.0	1	 Piliyandala	  Colombo
366		27000000	4	7.0	4	3142.0	1	 Piliyandala	  Colombo
367		25500000	5	7.5	4	2964.0	1	 Piliyandala	  Colombo
368	House	8500000	1	6.0	2	1000.0	0	 Boralesgamuwa	  Colombo
369	House	23000000	3	7.0	3	2996.0	1	 Piliyandala	  Colombo
370	House	8500000	1	13.0	2	925.0	0	 Ja-Ela	  Gampaha
371	House	9500000	1	10.0	3	1500.0	0	 Homagama	  Colombo
372	House	22499999	2	8.0	4	3949.0	0	 Kandana	  Gampaha
373	House	31000000	4	8.0	4	2880.0	0	 Piliyandala	  Colombo
374	House	27000000	4	7.0	4	2900.0	1	 Piliyandala	  Colombo
375	House	7300000	2	10.0	3	1000.0	0	 Homagama	  Colombo
376	House	17000000	2	10.0	4	1500.0	1	 Kelaniya	  Gampaha
377	House	31000000	1	23.74	3	6670.0	0	 Wattala	  Gampaha
378	House	100000000	4	10.0	4	4800.0	0	 Rajagiriya	  Colombo
379	House	27000000	4	7.0	4	2900.0	1	 Kottawa	  Colombo
380	House	9800000	1	20.0	5	1800.0	0	 Mawathagama	  Kurunegala
381	House	3000000	6	18.5	6	5000.0	0	 Anuradhapura City	  Anuradhapura
382	House	950000	1	32.0	3	12000.0	0	 Ratnapura City	  Ratnapura
383	House	12800000	1	15.0	3	1500.0	0	 Kadawatha	  Gampaha
384	House	57500000	4	7.1	5	3600.0	1	 Dehiwala	  Colombo
385	House	182750000	3	21.5	5	6000.0	0	 Colombo 6	  Colombo
